gbif_id,scientific_name,generic_name,specific_epithet,latitude,longitude,event_date,country,state_province,locality,coordinate_uncertainty_m,basis_of_record,target_habitat,common_name
6422976858,Cervus hanglu,Cervus,hanglu,34.095248,74.942993,2026-06-29T07:26:51,India,Jammu and Kashmir,"Jammu and Kashmir, IN",28874.0,HUMAN_OBSERVATION,Dachigam National Park,Kashmir Stag / Hangul
3383947235,Cervus hanglu,Cervus,hanglu,34.092357,74.971943,2021-01-26T15:59:35,India,Jammu and Kashmir,"Jammu and Kashmir, IN",28874.0,HUMAN_OBSERVATION,Dachigam National Park,Kashmir Stag / Hangul
3466031379,Cervus hanglu,Cervus,hanglu,34.030763,74.842546,2016-05-05T12:31Z,India,Jammu and Kashmir,"Jammu and Kashmir, IN",28874.0,HUMAN_OBSERVATION,Dachigam National Park,Kashmir Stag / Hangul
5938075278,Anser anser,Anser,anser,22.914714,71.973683,2026-01-02T16:28:06,India,Gujarat,"Moti Kathechi, Gujarat, India",,HUMAN_OBSERVATION,Hokersar Wetland Reserve,Greylag Goose
5938677098,Anser anser,Anser,anser,22.917098,71.973284,2026-01-02T16:24,India,Gujarat,"Vadla, Gujarat, India",15.0,HUMAN_OBSERVATION,Hokersar Wetland Reserve,Greylag Goose
6131143466,Anser anser,Anser,anser,28.512698,77.484186,2026-01-25T10:36,India,Uttar Pradesh,"Surajpur, Greater Noida, Uttar Pradesh, India",6193.0,HUMAN_OBSERVATION,Hokersar Wetland Reserve,Greylag Goose
6131348840,Anser anser,Anser,anser,19.895702,85.435388,2026-01-09T15:30,India,Odisha,"Central Division, Odisha, India",499.0,HUMAN_OBSERVATION,Hokersar Wetland Reserve,Greylag Goose
6131657512,Anser anser,Anser,anser,28.526218,77.488123,2026-01-24T23:11,India,Uttar Pradesh,"GFGQ+F6Q Surajpur Wetland, Surajpur, Greater Noida, Uttar Pradesh 201306, India",130.0,HUMAN_OBSERVATION,Hokersar Wetland Reserve,Greylag Goose
6133284384,Anser anser,Anser,anser,27.159225,77.519563,2026-01-24T11:08,India,Rajasthan,"Shreenagar Rural, Rajasthan, India",2290.0,HUMAN_OBSERVATION,Hokersar Wetland Reserve,Greylag Goose
6133446637,Anser anser,Anser,anser,27.166576,77.52269,2026-01-23T16:06,India,Rajasthan,"Shreenagar Rural, Rajasthan, India",1542.0,HUMAN_OBSERVATION,Hokersar Wetland Reserve,Greylag Goose
6133567666,Anser anser,Anser,anser,27.166576,77.52269,2026-01-23T17:12,India,Rajasthan,"Shreenagar Rural, Rajasthan, India",1542.0,HUMAN_OBSERVATION,Hokersar Wetland Reserve,Greylag Goose
